Категория,Вопрос,Ответ
Учеба,Как я свяжусь со своей группой перед началом пар?,"После появления приказов о зачислении с вами свяжутся наставники направления, на которое вы поступили. Если появятся какие-либо вопросы вы можете обратиться в отборочную комиссию вашего института."
Учеба,Кто-то поможет нам адаптироваться к учебе?,"Наставники – ваши проводники в студенческой жизни. Они будут помогать вам влиться в университетскую рутину, а также ответят на все ваши вопросы."
Учеба,Есть ли военная кафедра? Как на нее поступить? Что она дает?,"Да при университете работает военно-учебный центр (ВУЦ), который осуществляет подготовку офицерских кадров — сержантов и лейтенантов запаса. Поступить на нее можно начиная со второго курса очной формы обучения. Для участия в конкурсном отборе нужно подать заявление, подать необходимые документы и пройти медкомиссию. Во время конкурсного отбора анализируются заключение медкомиссии, успеваемость за первый курс и результаты нормативов (подтягивания, бег на 100 и 3000 метров)."
Учеба,"Если я поступлю на одну специальность, могу ли я со второго семестра перевестись на другую?","Да, перевод возможен, но при наличии мест, также нужно будет закрыть академическую разницу."
Учеба,Что такое БРС?,"Балльно-рейтинговая система. Это система оценивания студентов во время обучения в семестре и на сессии. Как правило, оценка за предмет является средним арифметическаим между работой в семестре и ответом на экзамене."
Учеба,Какие самые топовые специальности в вузе?,"Все специальности в УрФУ прекрасны по-своему, важно определиться, что нравится вам больше всего, и чем в будущем вы хотите заниматься."
Учеба,Смогу ли я совмещать учебу и работу? ,"Все зависит от ваших возможностей, специальности и профессии, но есть множество примеров, когда наши студенты совмещают работу и учебу, многие также работают в университете."
Учеба,Что лучше бакалавриат или специалитет?,"Бакалавриат – это обучение на 4 года, для того, чтобы дополнить свое образование, можно поступить в магистратуру, но в магистратуре вы можете получить отличное от бакалавриата образование, тем самым разнообразить свои компетенции. Специлитет – это обучение на 5 лет, после него не обязательно поступать в магистратуру, это более фундаментальное образование. Куда поступать, зависит от вашего выбора."
Трудоустройство,Сотрудничает ли вуз с компаниями для дальнейшего трудоустройства?,У университета множество партнеров по всему миру. Для детального ознакомления лучше изучить сию страницу:  https://urfu.ru/ru/international/inostrannye-partnery/ 
Трудоустройство,Можно ли работать в зарубежных странах с дипломом УрФУ?,"Да, но каждый случай индивидуален. Также в УрФУ есть программа двойных дипломов. https://programs.edu.urfu.ru/ru/10071/pages/double/"
Индивидуальные достижения,"Сколько баллов я могу получить за Тест-драйв, участие в каком году все еще действительно?",
Индивидуальные достижения,С какого класса учитываются индивидуальные достижения?,
Индивидуальные достижения,За что можно получить дополнительные баллы? Сколько максимально можно получить?,
Индивидуальные достижения,Существуют ли какие-либо льготы для абитуриентов с инвалидностью?,"Да, найти информацию можно на сайте в разделе “Поступающим с ограниченными возможностями здоровья”: https://urfu.ru/ru/applicant/docs-abiturient/persons-with-disabilities/ "
Индивидуальные достижения,"Как понять дает ли льготы та или иная олимпиада, в которой я победил?",
Индивидуальные достижения,Кому дается 100 баллов соответствующего вступительного испытания? ,"Победителям и призерам всероссийской олимпиады, членам сборных команд, победителям и призерам олимпиад школьников, не соответствующим профилю олимпиады, победителям и призерам олимпиад школьников при приеме на обучение по программам соответствующим  профилю олимпиады по решению приемной комиссии."
Индивидуальные достижения,На какие направления подготовки магистратуры начисляются дополнительные баллы дипломантам олимпиады «Я профессионал»?,В рамках профиля олимпиады.
Индивидуальные достижения,Даются ли дополнительные баллы за наличие волонтёрской книжки?,"Да, 2 балла (не менее 50 отработанных часов)."
